player,nationality,position,team,comp_level,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,581.0,453.0,127.0,11.0,2.0,3.0,13,116.0,0.0,0.0,0.0,0.0,450.0,1.0,23.0
Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,472.0,439.0,29.0,3.0,5.0,1.0,22,12.0,6.0,2.0,3.0,0.0,365.0,4.0,21.0
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,50.0,48.0,2.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,1836.0,1650.0,178.0,75.0,2.0,13.0,3,29.0,0.0,0.0,0.0,0.0,1552.0,8.0,20.0
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,895.0,875.0,18.0,17.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,796.0,2.0,17.0
Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2.0,79.0,75.0,4.0,4.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,1836.0,1743.0,88.0,68.0,6.0,13.0,34,14.0,0.0,0.0,0.0,0.0,1551.0,5.0,25.0
Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,231.0,218.0,12.0,0.0,2.0,1.0,7,1.0,0.0,0.0,0.0,0.0,162.0,1.0,11.0
Abner,BRA,DF,Betis,La Liga,23,2000,15.6,797.0,628.0,165.0,7.0,0.0,3.0,26,158.0,0.0,0.0,0.0,0.0,615.0,4.0,23.0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,196.0,185.0,11.0,1.0,0.0,0.0,5,9.0,0.0,0.0,0.0,0.0,140.0,0.0,7.0
Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,25.7,762.0,704.0,55.0,50.0,0.0,17.0,2,4.0,0.0,0.0,0.0,0.0,553.0,3.0,10.0
Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,40.0,37.0,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0
Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,26.5,1781.0,1719.0,60.0,43.0,0.0,11.0,9,8.0,0.0,0.0,0.0,0.0,1615.0,2.0,5.0
Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,0.1,2.0,1.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,14.4,847.0,672.0,173.0,32.0,1.0,11.0,82,122.0,19.0,7.0,12.0,0.0,628.0,2.0,16.0
Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,Premier League,20,2002,4.3,71.0,65.0,5.0,0.0,2.0,0.0,3,0.0,0.0,0.0,0.0,0.0,55.0,1.0,4.0
Bénie Adama Traore,CIV,"FW,MF",Nantes,Ligue 1,20,2002,5.6,148.0,129.0,18.0,3.0,4.0,0.0,20,2.0,6.0,2.0,3.0,0.0,99.0,1.0,11.0
Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,25.0,385.0,375.0,10.0,0.0,2.0,1.0,12,1.0,0.0,0.0,0.0,0.0,250.0,0.0,20.0
Tyler Adams,USA,MF,Bournemouth,Premier League,24,1999,1.3,71.0,67.0,4.0,3.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0
Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,30.0,29.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30,1993,8.9,189.0,166.0,22.0,1.0,0.0,2.0,4,2.0,0.0,0.0,0.0,0.0,132.0,1.0,6.0
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,18.0,1216.0,1181.0,33.0,28.0,1.0,9.0,1,2.0,0.0,0.0,0.0,0.0,1028.0,2.0,8.0
Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,15.8,204.0,202.0,1.0,0.0,1.0,0.0,5,1.0,0.0,0.0,0.0,0.0,144.0,1.0,5.0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,299.0,280.0,19.0,3.0,0.0,1.0,25,11.0,4.0,1.0,2.0,0.0,218.0,0.0,16.0
Simon Adingra,CIV,FW,Brighton,Premier League,21,2002,24.7,840.0,815.0,23.0,3.0,7.0,2.0,76,15.0,5.0,0.0,1.0,0.0,634.0,2.0,29.0
Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20,2002,13.8,669.0,628.0,40.0,27.0,0.0,3.0,2,11.0,0.0,0.0,0.0,0.0,578.0,1.0,5.0
