player,nationality,position,team,comp_level,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,23.0,1.68,16.0,4.0,0.0,0.0,3.0,0.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0
Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,53.0,3.76,41.0,1.0,8.0,3.0,0.0,0.0,8.0,0.57,6.0,0.0,2.0,0.0,0.0,0.0
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,1.0,0.89,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.89,1.0,0.0,0.0,0.0,0.0,0.0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,24.0,0.78,19.0,1.0,0.0,3.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,27.0,1.6,27.0,0.0,0.0,0.0,0.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0
Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,81.0,2.55,67.0,3.0,2.0,1.0,2.0,6.0,5.0,0.16,3.0,0.0,1.0,0.0,0.0,1.0
Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,38.0,3.28,30.0,0.0,5.0,2.0,1.0,0.0,2.0,0.17,0.0,0.0,1.0,0.0,1.0,0.0
Abner,BRA,DF,Betis,La Liga,23,2000,15.6,14.0,0.9,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,20.0,2.39,10.0,0.0,2.0,3.0,3.0,2.0,2.0,0.24,0.0,0.0,0.0,1.0,1.0,0.0
Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,25.7,12.0,0.47,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,3.0,1.12,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.37,0.0,0.0,0.0,0.0,1.0,0.0
Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,26.5,22.0,0.83,19.0,0.0,0.0,3.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,0.1,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,14.4,49.0,3.42,28.0,15.0,3.0,0.0,2.0,1.0,4.0,0.28,1.0,3.0,0.0,0.0,0.0,0.0
Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,Premier League,20,2002,4.3,6.0,1.4,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23,1.0,0.0,0.0,0.0,0.0,0.0
Bénie Adama Traore,CIV,"FW,MF",Nantes,Ligue 1,20,2002,5.6,15.0,2.68,13.0,1.0,0.0,1.0,0.0,0.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0
Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,25.0,43.0,1.72,29.0,0.0,5.0,8.0,1.0,0.0,3.0,0.12,0.0,0.0,2.0,1.0,0.0,0.0
Tyler Adams,USA,MF,Bournemouth,Premier League,24,1999,1.3,3.0,2.25,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,2.0,1.73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30,1993,8.9,31.0,3.48,22.0,0.0,1.0,1.0,6.0,1.0,3.0,0.34,1.0,0.0,0.0,1.0,1.0,0.0
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,18.0,10.0,0.56,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,15.8,31.0,1.97,19.0,0.0,5.0,5.0,2.0,0.0,5.0,0.32,2.0,0.0,0.0,3.0,0.0,0.0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,25.0,2.46,13.0,1.0,3.0,2.0,6.0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0
Simon Adingra,CIV,FW,Brighton,Premier League,21,2002,24.7,77.0,3.12,51.0,1.0,13.0,7.0,3.0,2.0,4.0,0.16,3.0,0.0,0.0,0.0,0.0,1.0
Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20,2002,13.8,11.0,0.8,8.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,10.0,52.0,5.22,39.0,0.0,6.0,3.0,4.0,0.0,9.0,0.9,5.0,0.0,2.0,1.0,1.0,0.0
Yacine Adli,FRA,MF,Milan,Serie A,23,2000,15.6,62.0,3.97,41.0,18.0,3.0,0.0,0.0,0.0,8.0,0.51,4.0,3.0,1.0,0.0,0.0,0.0
Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adson,BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,9.0,3.4,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michel Aebischer,SUI,MF,Bologna,Serie A,26,1997,24.8,40.0,1.61,32.0,2.0,2.0,2.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,28.8,47.0,1.63,43.0,0.0,0.0,4.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,FRA,MF,Inter,Serie A,21,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,FRA,MF,Sevilla,La Liga,21,2002,8.6,21.0,2.43,19.0,0.0,2.0,0.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0
Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,24.0,1.34,16.0,1.0,0.0,0.0,7.0,0.0,3.0,0.17,0.0,0.0,0.0,0.0,3.0,0.0
Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,20.6,14.0,0.68,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,21.4,47.0,2.2,43.0,1.0,1.0,2.0,0.0,0.0,5.0,0.23,5.0,0.0,0.0,0.0,0.0,0.0
