player,nationality,position,team,comp_level,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,1,0,0,12,26,2,13,8,19,0.0,1.0,0,75.0,5.0,11.0,31.3
Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,3,1,1,15,25,5,22,2,18,0.0,0.0,0,88.0,13.0,16.0,44.8
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,0,0,0,6,4,0,0,0,2,0.0,0.0,0,5.0,3.0,0.0,100.0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,5,0,0,26,12,0,3,39,35,0.0,0.0,1,149.0,61.0,37.0,62.2
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,2,0,0,34,16,0,3,12,14,0.0,3.0,0,89.0,2.0,7.0,22.2
Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2.0,0,0,0,1,1,0,0,0,0,0.0,0.0,0,10.0,4.0,6.0,40.0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,4,0,0,36,36,1,34,61,52,0.0,0.0,0,226.0,15.0,14.0,51.7
Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,1,0,0,10,13,6,7,3,4,1.0,0.0,0,39.0,15.0,27.0,35.7
Abner,BRA,DF,Betis,La Liga,23,2000,15.6,3,0,0,16,2,2,26,15,19,0.0,1.0,0,79.0,14.0,10.0,58.3
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,2,0,0,17,15,8,5,1,8,1.0,0.0,0,21.0,6.0,7.0,46.2
Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,25.7,10,0,0,33,23,1,2,23,19,0.0,2.0,1,109.0,39.0,36.0,52.0
Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,1,0,0,6,5,2,2,0,1,1.0,0.0,0,1.0,6.0,5.0,54.5
Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,26.5,1,0,0,19,24,3,9,32,13,0.0,0.0,0,102.0,70.0,37.0,65.4
Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0
