player,nationality,position,team,comp_level,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,450.0,581.0,77.5,7402.0,2789.0,220.0,248.0,88.7,188.0,235.0,80.0,34.0,63.0,54.0,1,0.8,0.9,0.2,7.0,25.0,13.0,2.0,43.0
Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,365.0,472.0,77.3,4890.0,1506.0,206.0,240.0,85.8,105.0,130.0,80.8,19.0,32.0,59.4,2,1.9,2.0,0.1,22.0,30.0,14.0,3.0,56.0
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,41.0,50.0,82.0,576.0,71.0,20.0,25.0,80.0,20.0,22.0,90.9,0.0,2.0,0.0,1,0.1,0.1,0.9,1.0,4.0,2.0,0.0,5.0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0.0,1.0,1.0,100.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,1552.0,1836.0,84.5,29618.0,9672.0,487.0,548.0,88.9,893.0,976.0,91.5,141.0,252.0,56.0,0,0.3,0.6,-0.3,8.0,129.0,3.0,0.0,137.0
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,796.0,895.0,88.9,12470.0,3008.0,393.0,433.0,90.8,330.0,360.0,91.7,41.0,54.0,75.9,0,0.5,1.1,-0.5,6.0,87.0,5.0,2.0,78.0
Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2.0,60.0,79.0,75.9,1159.0,426.0,22.0,26.0,84.6,29.0,34.0,85.3,7.0,17.0,41.2,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,1551.0,1836.0,84.5,27382.0,8613.0,629.0,707.0,89.0,711.0,802.0,88.7,150.0,233.0,64.4,1,2.2,1.9,-1.2,30.0,188.0,23.0,3.0,194.0
Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,162.0,231.0,70.1,2410.0,448.0,91.0,128.0,71.1,52.0,68.0,76.5,9.0,11.0,81.8,0,2.0,0.9,-2.0,17.0,6.0,7.0,2.0,20.0
Abner,BRA,DF,Betis,La Liga,23,2000,15.6,615.0,797.0,77.2,9211.0,4552.0,351.0,394.0,89.1,203.0,265.0,76.6,37.0,79.0,46.8,1,1.0,1.0,0.0,8.0,20.0,7.0,2.0,33.0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,140.0,196.0,71.4,2025.0,599.0,70.0,95.0,73.7,53.0,66.0,80.3,6.0,8.0,75.0,0,0.2,1.1,-0.2,5.0,10.0,9.0,1.0,20.0
Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,25.7,553.0,762.0,72.6,12370.0,4872.0,141.0,164.0,86.0,302.0,339.0,89.1,99.0,225.0,44.0,0,0.2,0.2,-0.2,3.0,61.0,2.0,0.0,49.0
Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,19.0,40.0,47.5,231.0,75.0,14.0,25.0,56.0,4.0,9.0,44.4,0.0,1.0,0.0,0,0.1,0.0,-0.1,3.0,1.0,1.0,0.0,4.0
Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,26.5,1615.0,1781.0,90.7,29326.0,9174.0,601.0,650.0,92.5,856.0,908.0,94.3,132.0,179.0,73.7,1,1.8,1.3,-0.8,7.0,58.0,5.0,2.0,87.0
Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,0.1,1.0,2.0,50.0,18.0,7.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,14.4,628.0,847.0,74.1,12126.0,4928.0,260.0,297.0,87.5,262.0,328.0,79.9,94.0,183.0,51.4,2,1.5,2.1,0.5,23.0,52.0,19.0,12.0,59.0
Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,Premier League,20,2002,4.3,55.0,71.0,77.5,775.0,185.0,34.0,38.0,89.5,19.0,23.0,82.6,1.0,1.0,100.0,0,0.5,0.5,-0.5,4.0,2.0,7.0,1.0,9.0
Bénie Adama Traore,CIV,"FW,MF",Nantes,Ligue 1,20,2002,5.6,99.0,148.0,66.9,1513.0,448.0,58.0,73.0,79.5,30.0,42.0,71.4,6.0,17.0,35.3,1,0.9,1.3,0.1,8.0,9.0,4.0,2.0,15.0
Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,25.0,250.0,385.0,64.9,3676.0,786.0,125.0,185.0,67.6,89.0,126.0,70.6,14.0,29.0,48.3,1,1.9,1.4,-0.9,17.0,14.0,4.0,2.0,17.0
Tyler Adams,USA,MF,Bournemouth,Premier League,24,1999,1.3,59.0,71.0,83.1,973.0,262.0,35.0,39.0,89.7,18.0,24.0,75.0,6.0,8.0,75.0,0,0.1,0.0,-0.1,1.0,9.0,0.0,0.0,5.0
Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,18.0,30.0,60.0,181.0,36.0,15.0,17.0,88.2,1.0,9.0,11.1,0.0,1.0,0.0,0,0.1,0.0,-0.1,1.0,0.0,1.0,0.0,1.0
