player,nationality,position,team,comp_level,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,711.0,43.0,252.0,303.0,165.0,11.0,711.0,34.0,14.0,41.2,12.0,35.3,364.0,2174.0,1121.0,22.0,12.0,7.0,13.0,8.0,371.0,26.0
Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,675.0,11.0,108.0,301.0,293.0,47.0,675.0,77.0,34.0,44.2,41.0,53.2,406.0,2721.0,1387.0,37.0,29.0,9.0,41.0,38.0,457.0,91.0
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,72.0,0.0,6.0,39.0,28.0,5.0,72.0,7.0,2.0,28.6,4.0,57.1,43.0,193.0,50.0,2.0,0.0,1.0,5.0,4.0,46.0,7.0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,2185.0,293.0,976.0,1119.0,114.0,35.0,2184.0,15.0,8.0,53.3,7.0,46.7,1506.0,8663.0,4921.0,36.0,19.0,0.0,23.0,4.0,1403.0,9.0
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,1022.0,21.0,168.0,647.0,218.0,7.0,1022.0,19.0,7.0,36.8,11.0,57.9,823.0,4361.0,1683.0,9.0,33.0,0.0,23.0,11.0,780.0,20.0
Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2.0,87.0,4.0,37.0,49.0,1.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,47.0,326.0,183.0,0.0,0.0,0.0,1.0,1.0,54.0,0.0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,2164.0,105.0,553.0,1288.0,349.0,10.0,2164.0,65.0,44.0,67.7,18.0,27.7,1649.0,8707.0,3892.0,38.0,49.0,3.0,32.0,30.0,1502.0,51.0
Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,386.0,9.0,36.0,153.0,209.0,65.0,386.0,33.0,19.0,57.6,14.0,42.4,294.0,1979.0,906.0,28.0,24.0,14.0,50.0,14.0,287.0,87.0
Abner,BRA,DF,Betis,La Liga,23,2000,15.6,966.0,72.0,344.0,405.0,226.0,28.0,966.0,13.0,7.0,53.8,5.0,38.5,447.0,1802.0,949.0,14.0,10.0,5.0,18.0,11.0,502.0,58.0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,305.0,1.0,27.0,123.0,161.0,38.0,304.0,31.0,8.0,25.8,22.0,71.0,233.0,1651.0,745.0,23.0,13.0,8.0,22.0,12.0,229.0,75.0
